                  创业板指 (399006)													
													
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   				
2017	4	24	9	40	1819.38	1819.56	1814.01	1819.54	293933	1819.72	1849.66	1846.63	           
2017	4	24	9	45	1819.19	1819.19	1799.72	1799.72	299872	1809.63	1848.77	1846.43	           
2017	4	24	9	50	1799.52	1806.08	1796.36	1806.08	323575	1802.91	1848	1846.24	           
2017	4	24	9	55	1806.28	1811.68	1805.96	1811.62	217139	1808.86	1847.3	1846.12	           
2017	4	24	10	0	1811.65	1812.49	1809.76	1809.76	159598	1810.69	1846.55	1845.92	           
2017	4	24	10	5	1809.96	1813.88	1809.96	1813.67	160843	1811.7	1845.92	1845.75	           
2017	4	24	10	10	1813.67	1814.87	1812.44	1813.48	121760	1813.58	1845.28	1845.58	           
2017	4	24	10	15	1813.24	1814.66	1812.71	1814.62	104346	1814.05	1844.65	1845.43	           
2017	4	24	10	20	1814.73	1819.1	1814.59	1818.64	105396	1816.63	1844.11	1845.3	           
2017	4	24	10	25	1818.49	1818.84	1816.74	1817.04	98839	1817.84	1843.46	1845.1	           
2017	4	24	10	30	1817.07	1820.03	1816.89	1818.2	87887	1817.63	1842.81	1844.93	           
2017	4	24	10	35	1818.13	1818.23	1814.04	1814.09	84739	1816.16	1842.08	1844.74	           
2017	4	24	10	40	1814.11	1814.31	1813.17	1813.22	72778	1813.66	1841.35	1844.52	           
2017	4	24	10	45	1813.22	1816.36	1812.86	1816.21	71949	1814.7	1840.66	1844.29	           
2017	4	24	10	50	1816.25	1817	1815.99	1816.72	62575	1816.45	1839.86	1844.05	           
2017	4	24	10	55	1816.74	1816.99	1814.24	1814.24	64087	1815.48	1839.04	1843.78	           
2017	4	24	11	0	1814.14	1814.16	1812.15	1812.94	83745	1813.59	1838.21	1843.49	           
2017	4	24	11	5	1812.95	1814.11	1812.36	1814.11	72717	1813.53	1837.43	1843.19	           
2017	4	24	11	10	1814.09	1816.01	1813.52	1815.34	70262	1814.72	1836.66	1842.92	           
2017	4	24	11	15	1815.6	1815.6	1814.07	1814.66	50113	1815	1835.83	1842.61	           
2017	4	24	11	20	1814.7	1814.7	1809.13	1809.16	69361	1811.92	1834.92	1842.23	           
2017	4	24	11	25	1809.08	1810.87	1807.55	1810.54	93687	1809.84	1834.1	1841.85	           
2017	4	24	11	30	1811.09	1812.75	1810.22	1812.41	57402	1811.47	1833.29	1841.51	           
2017	4	24	13	5	1812.76	1812.76	1810.02	1810.15	56606	1811.28	1832.48	1841.11	           
